rank,title,release_year,content_rating,rating,runtime_minutes,rating_scaled
190,Hacksaw Ridge,2016,R,8.1,139,81.0
191,Dead Poets Society,1989,PG,8.1,128,81.0
192,Gone Girl,2014,R,8.1,149,81.0
193,Memories of Murder,2003,Not Rated,8.1,132,81.0
194,In the Name of the Father,1993,R,8.1,133,81.0
195,The Gold Rush,1925,Approved,8.1,95,81.0
196,Maharaja,2024,Not Rated,8.5,141,85.0
197,"Monsters, Inc.",2001,G,8.1,92,81.0
198,Wild Tales,2014,R,8.1,122,81.0
199,Ratatouille,2007,G,8.1,111,81.0
200,The Deer Hunter,1978,R,8.1,183,81.0
201,How to Train Your Dragon,2010,PG,8.1,98,81.0
202,Jaws,1975,PG,8.1,124,81.0
203,Sherlock Jr.,1924,Passed,8.2,0,82.0
204,The General,1926,Passed,8.1,78,81.0
205,Mary and Max,2009,Not Rated,8.1,92,81.0
206,On the Waterfront,1954,Approved,8.1,108,81.0
207,The Wages of Fear,1953,Not Rated,8.1,156,81.0
208,Ford v Ferrari,2019,PG-13,8.1,152,81.0
209,Wild Strawberries,1957,Not Rated,8.1,92,81.0
210,Mr. Smith Goes to Washington,1939,Approved,8.1,129,81.0
211,The Third Man,1949,Approved,8.1,93,81.0
212,Logan,2017,R,8.1,137,81.0
213,Rocky,1976,PG,8.1,120,81.0
214,Tokyo Story,1953,Not Rated,8.1,136,81.0
215,The Big Lebowski,1998,R,8.1,117,81.0
216,The Seventh Seal,1957,Not Rated,8.1,96,81.0
217,Room,2015,R,8.1,118,81.0
218,Spotlight,2015,R,8.1,129,81.0
219,The Terminator,1984,R,8.1,107,81.0
220,Hotel Rwanda,2004,PG-13,8.1,121,81.0
221,Platoon,1986,R,8.1,120,81.0
222,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,8.1,143,81.0
223,La haine,1995,Not Rated,8.1,98,81.0
224,Jai Bhim,2021,Approved,8.7,164,87.0
225,The Passion of Joan of Arc,1928,Passed,8.1,114,81.0
226,Before Sunset,2004,R,8.1,80,81.0
